,User,ID,DateTime,Device,Retweets,Likes,Text,Is_retweet
1,realDonaldTrump,1335796393399775233,2020-12-07 04:00:52,Twitter for iPhone,7314,33018,Watch @marklevinshow at 11:00 P.M. (now!) and @SteveHiltonx at 12:00 A.M. on the Great Election Fraud of 2020!,False
2,realDonaldTrump,1335783660507770881,2020-12-07 03:10:16,Twitter for iPhone,21986,0,RT @realDonaldTrump: SO TRUE. NO WAY WE LOST THIS ELECTION!,True
3,realDonaldTrump,1335783596922114048,2020-12-07 03:10:01,Twitter for iPhone,30550,0,"RT @realDonaldTrump: A MUST WATCH! Hope the lawyers are all taking notes. All FACTS, do not flag this Twitter!",True
4,realDonaldTrump,1335775535717289984,2020-12-07 02:37:59,Twitter for iPhone,9062,35373,https://t.co/j0jTBUR6jv,False
5,realDonaldTrump,1335775501739307009,2020-12-07 02:37:51,Twitter for iPhone,7365,29995,https://t.co/RAIj4zXKBk,False
6,realDonaldTrump,1335775434546548737,2020-12-07 02:37:35,Twitter for iPhone,10489,39101,https://t.co/khAkcJRait,False
7,realDonaldTrump,1335772223748141057,2020-12-07 02:24:50,Twitter for iPhone,5242,0,RT @gregkellyusa: What Happened Reverend in that situation with CHILD ABUSE ????  Wow.  He DISRESPECTS KIDS AND COPS.  @KLoeffler is not on…,True
8,realDonaldTrump,1335766342385930241,2020-12-07 02:01:28,Twitter for iPhone,9810,59281,True. Great debate for Kelly! https://t.co/M2y3An9wbL,False
9,realDonaldTrump,1335761079750766592,2020-12-07 01:40:33,Twitter for iPhone,21986,87585,SO TRUE. NO WAY WE LOST THIS ELECTION! https://t.co/FC4XtNzuxo,False
10,realDonaldTrump,1335739297459265537,2020-12-07 00:14:00,Twitter for iPhone,30550,95703,"A MUST WATCH! Hope the lawyers are all taking notes. All FACTS, do not flag this Twitter! https://t.co/5vWbEfKRf7",False
11,realDonaldTrump,1335736235239804928,2020-12-07 00:01:49,Twitter for iPhone,20768,72541,"Gee, what a surprise. Has anyone informed the so-called (says he has no power to do anything!) Governor @BrianKempGA &amp; his puppet Lt. Governor @GeoffDuncanGA, that they could easily solve this mess, &amp; WIN. Signature verification &amp; call a Special Session. So easy! https://t.co/5cb4QdYzpU",False
12,realDonaldTrump,1335716932604076034,2020-12-06 22:45:07,Twitter for iPhone,16356,53059,Now spreading Fake News! https://t.co/Xv9d4gqGEJ,False
13,realDonaldTrump,1335713681733263370,2020-12-06 22:32:12,Twitter for iPhone,33191,0,"RT @Rothbard1776: BREAKING: @SidneyPowell1 ""There is no telling how many Congressional &amp; Senate seats, and even Governorships, we've lost b…",True
14,realDonaldTrump,1335713485020401671,2020-12-06 22:31:25,Twitter for iPhone,24791,98774,So much truth to this! https://t.co/HH0LcQ5Wgl,False
15,realDonaldTrump,1335712082394804229,2020-12-06 22:25:51,Twitter for iPhone,17567,0,RT @RealMattCouch: Will you pray with me tonight for Rudy America? The power of prayer in numbers is staggering!  Lord please put your hedg…,True
16,realDonaldTrump,1335705799088279554,2020-12-06 22:00:53,Twitter for iPhone,16097,0,"RT @FLOTUS: The @WhiteHouse Cross Hall &amp; Grand Foyer overflow with love, joy, peace, hope &amp; faith, revealing the most important gifts of th…",True
17,realDonaldTrump,1335705718209572866,2020-12-06 22:00:34,Twitter for iPhone,9989,0,RT @FLOTUS: Lighting the National Christmas Tree is one of America's oldest holiday traditions. @POTUS &amp; I were honored to virtually join @…,True
18,realDonaldTrump,1335679426516881409,2020-12-06 20:16:05,Twitter for iPhone,48195,263404,".@RudyGiuliani, by far the greatest mayor in the history of NYC, and who has been working tirelessly exposing the most corrupt election (by far!) in the history of the USA, has tested positive for the China Virus. Get better soon Rudy, we will carry on!!!",False
19,realDonaldTrump,1335674163919548418,2020-12-06 19:55:10,Twitter for iPhone,18478,79592,Interesting! https://t.co/Ge1h3UKW5O,False
20,realDonaldTrump,1335673568089301003,2020-12-06 19:52:48,Twitter for iPhone,15060,74388,Will not happen. Suppression of thought! https://t.co/QJYz5N1bDC,False
21,realDonaldTrump,1335672890407215105,2020-12-06 19:50:07,Twitter for iPhone,9133,0,RT @ScottAdamsSays: Fact check this. Real?,True
22,realDonaldTrump,1335663612954898434,2020-12-06 19:13:15,Twitter for iPhone,29292,134774,"...I WON THE ELECTION, BIG. https://t.co/oFF4uzNBpe",False
23,realDonaldTrump,1335661400081969152,2020-12-06 19:04:27,Twitter for iPhone,19466,0,RT @PATPmovie: Our new trailer! The Plot Against The President in 2mins &amp; 20!!! Full movie on Amazon:  https://t.co/3RoOIuGMPZ https://t.co…,True
24,realDonaldTrump,1335657565733212162,2020-12-06 18:49:13,Twitter for iPhone,28944,156463,".@FoxNews daytime is not watchable. In a class with CNN &amp; MSDNC. Check out @OANN, @newsmax and others that are picking up the slack. Even a boring football game, kneeling and all, is better!",False
25,realDonaldTrump,1335470128603992064,2020-12-06 06:24:25,Twitter for iPhone,10843,0,"RT @mattdizwhitlock: 🔥🔥🔥  ""Ossoff is a baby-faced trust fund socialist who will be a Schumer puppet. Raphael Warnock is a Jeremiah Wright l…",True
26,realDonaldTrump,1335469766308466688,2020-12-06 06:22:58,Twitter for iPhone,21511,0,RT @Jim_Jordan: Durham confirms what we already knew.   James Comey’s FBI was out to get President Trump.,True
27,realDonaldTrump,1335469323276742656,2020-12-06 06:21:13,Twitter for iPhone,14667,0,RT @jacobkschneider: That's our President @realDonaldTrump 🇺🇸 https://t.co/7s6HywWFRt,True
28,realDonaldTrump,1335468518322675715,2020-12-06 06:18:01,Twitter for iPhone,12170,0,RT @TeamTrump: President @realDonaldTrump: We say MERRY CHRISTMAS proudly again! https://t.co/iwoSCMO5ai,True
29,realDonaldTrump,1335468465679966208,2020-12-06 06:17:48,Twitter for iPhone,7155,0,RT @TeamTrump: President @realDonaldTrump: Vaccines are on their way starting next week! https://t.co/4qgDZuLzFw,True
30,realDonaldTrump,1335468393726697473,2020-12-06 06:17:31,Twitter for iPhone,7306,0,RT @TeamTrump: President @realDonaldTrump: We are gathered here to ensure that @Perduesenate and @KLoeffler win https://t.co/FxOKy4kJJH,True
31,realDonaldTrump,1335468345043390464,2020-12-06 06:17:19,Twitter for iPhone,10754,0,RT @TeamTrump: President @realDonaldTrump: We must pass voter ID requirements to protect our elections https://t.co/rHX9CQm1oK,True
32,realDonaldTrump,1335468301028372480,2020-12-06 06:17:09,Twitter for iPhone,9067,0,RT @TeamTrump: President @realDonaldTrump: “If you don’t vote. The socialists and the communists win.” https://t.co/VLhaX0iKKa,True
33,realDonaldTrump,1335468270569349120,2020-12-06 06:17:02,Twitter for iPhone,7080,0,"RT @TeamTrump: President @realDonaldTrump in #Georgia: We have to #HoldTheLine, register to vote before December 7th! https://t.co/usewOJsL…",True
34,realDonaldTrump,1335468173336961024,2020-12-06 06:16:38,Twitter for iPhone,6657,0,"RT @TeamTrump: President @realDonaldTrump: On January 5th, you must defeat Ossoff and Warnock and send @PerdueSenate and @KLoeffler back to…",True
35,realDonaldTrump,1335468139484733440,2020-12-06 06:16:30,Twitter for iPhone,6501,0,RT @TeamTrump: President @realDonaldTrump: Raphael Warnock is a dangerous extremist who is radically opposed to Georgia values https://t.co…,True
36,realDonaldTrump,1335468101564063744,2020-12-06 06:16:21,Twitter for iPhone,6234,0,RT @TeamTrump: President @realDonaldTrump: Jon Ossoff is a radical left wing zealot https://t.co/YonLCLQNq4,True
37,realDonaldTrump,1335468046446686209,2020-12-06 06:16:08,Twitter for iPhone,5833,0,RT @TeamTrump: President @realDonaldTrump: Senator @KLoeffler “has been an exceptional champion for Georgia workers and families” https://t…,True
38,realDonaldTrump,1335467992419889153,2020-12-06 06:15:55,Twitter for iPhone,19934,97760,And getting a total pass from the media! https://t.co/LyQBuhJq46,False
39,realDonaldTrump,1335467150069407744,2020-12-06 06:12:35,Twitter for iPhone,7781,0,"RT @TeamTrump: President @realDonaldTrump: Radical Democrats will destroy America forever by abolishing filibuster, opening borders, confis…",True
40,realDonaldTrump,1335467089830825984,2020-12-06 06:12:20,Twitter for iPhone,12490,0,RT @mikehahn_: This is a movement.   It's not going anywhere. https://t.co/pqIgz1S5KS,True
41,realDonaldTrump,1335467006750056451,2020-12-06 06:12:00,Twitter for iPhone,24966,0,RT @TeamTrump: We will not bend.   We will not break.   We will not yield.   We will never give in.  We will never give up.  We will never…,True
42,realDonaldTrump,1335466908192268293,2020-12-06 06:11:37,Twitter for iPhone,13123,106860,Thank you Matt! https://t.co/yPqsdzytu4,False
