,ID,Retweets,Replies,Likes,Quotes,Text
0,1336389265601728519,0,0,0,0,@SaucySalamande1 @Myst_BS @Ennndora @realDonaldTrump I have not lied.   But we are going in circles and you are not accurate in what I have said either.  Good day to you.
1,1336389051524337664,0,0,0,0,"@realDonaldTrump and, just a guess, you're on the golf course?"
2,1336389016422330368,0,1,0,0,"@SaucySalamande1 @Myst_BS @Ennndora @realDonaldTrump Statistics. Not the disease.   Discussing the disease is speaking about effects, symptoms, etc.  Statistics related to the disease is entirely different."
3,1336388868636110848,0,0,0,0,"@LuisBobby3 @realDonaldTrump Yeah whatever. Heh, guess what, we have  283,000 dead Americans to Covid. What does our C in C draft dodger vote loser have to say about that, or you for that matter? Nothing. A brain dead conspiracy fantasist minion... T is now a small beer historical footnote."
4,1336388719322955776,0,0,0,0,@realDonaldTrump #InmateIvanka and #TrumpIsACompleteFailure You've killed more people in one day then Japan did!
5,1336388701551808512,0,0,0,0,@SaucySalamande1 @Myst_BS @Ennndora @realDonaldTrump Typo on my post...
6,1336388608270413827,0,0,0,0,@realDonaldTrump https://t.co/HiejTsJ01q
7,1336388572971212801,0,1,0,0,@SaucySalamande1 @Myst_BS @Ennndora @realDonaldTrump Right under the heart diagram.  The effects of COVID-19 on the lungs are well-known.
8,1336388455849291776,0,0,0,0,@realDonaldTrump https://t.co/MiW8YKyQWi
9,1336388455794925568,0,0,1,0,@realDonaldTrump Remembering because of your what? 5 deferments?
10,1336388332155260928,0,1,0,0,@judy_k_05 @Myst_BS @Ennndora @realDonaldTrump No its not. Saying you are an expert while talking about disease and health but leaving off what you are expert in is lying by omission. Im sorry caught you lyin but its just like that sometimes.
11,1336388296168140800,0,0,0,0,@JustAManic2020 @realDonaldTrump For the last time it was not trumps fault it was China’s fault and I see you never say that why
12,1336388170737463296,0,0,0,0,@SaucySalamande1 @Myst_BS @Ennndora @realDonaldTrump We're talking about statistics. Not heart surgery.   I can discuss statistics and create graphs and extrapolate data without having a degree.  Numbers are very easy to manipulate. Depends how you present them.
13,1336388048007950341,0,1,0,0,"@judy_k_05 @Myst_BS @Ennndora @realDonaldTrump Ok two things. First off that quote is no where in the article so idk what ""week known effects"" even means? Like are you saying the known effects are weak because no one is saying that??  Secondly I sent a second source which was posted in September saying the same thing."
14,1336387608889483266,0,0,0,0,@SaucySalamande1 @Myst_BS @Ennndora @realDonaldTrump That's just not realistic in light of historic data.
15,1336387448109228033,0,1,0,0,@SaucySalamande1 @Myst_BS @Ennndora @realDonaldTrump Look at the line graph that showed flu deaths have flat lined.
16,1336387298804555776,0,2,0,0,@SaucySalamande1 @Myst_BS @Ennndora @realDonaldTrump Apples to oranges
17,1336387268664303620,0,0,0,0,@realDonaldTrump @POTUS TRAITOR TRUMP
18,1336386771576303620,0,0,0,0,@KathrynKemm @realDonaldTrump Yes it does 🇺🇸❤🇺🇸
19,1336386722175840258,0,1,0,0,"@judy_k_05 @Myst_BS @Ennndora @realDonaldTrump Your own source is saying people may be actually misidentified covid as the flu not the other way around.  ""deaths caused by COVID-19 might be misclassified as pneumonia or influenza deaths in the death certificates."""
20,1336386528763924481,0,1,0,0,"@SaucySalamande1 @Myst_BS @Ennndora @realDonaldTrump That was written in April.   Starts out saying the effects on the heart are well known. So we have a novel coronavirus that a few months later - as deaths are peaking - they claim ""week known effects""???   Use your critical thinking skills here."
21,1336386378335195136,0,1,0,0,"@judy_k_05 @Myst_BS @Ennndora @realDonaldTrump Omg ok if I bring someone into your surgery room claiming them as an ""accomplished professional"" and he will be doing open heart surgery on you,  But forget to add the thing he's professional at is water polo, is that not bullshit?? Thats lying by omission."
22,1336386357288046592,0,0,0,0,"@realDonaldTrump Dear Georgia Trump Voters, You all might have already heard. #GeorgiaSenateRunoff election has already been decided. It has been exhausting, but it is what it is. We like it or not. We must now accept the outcome. Let's regroup in 2 years. Write-in Donald J. Trump &amp; Melania Trump"
23,1336385832949788676,0,0,0,0,@judy_k_05 @Myst_BS @Ennndora @realDonaldTrump Ok so are you trying to say covid is not the subject of this discussion?  To state you are an expert than to directly talk about a subject makes you seem like a expert in that subject which she was not. We can agree she was not. Yet you try painting her in that light.
24,1336385231411089411,0,1,0,0,"@judy_k_05 @Myst_BS @Ennndora @realDonaldTrump According to Dr. Cooper, there are two dominant cardiac issues related to COVID-19: heart failure, when the heart muscle doesn't pump blood as well as it should, and arrhythmias, or abnormal heart rhythms  https://t.co/rn08YWjj95"
25,1336385101085741057,0,0,0,0,@realDonaldTrump @POTUS Chuck Yeager dead at 97  https://t.co/wlxLhpVgam
26,1336384999671652354,0,0,0,0,"@Debate__America @AppSame @realDonaldTrump Yes, it was a comparison of people vs time and what they would do for the wellbeing of fellow Americans. It had nothing to do with comparing the overall pandemic with WWII as your first tweet stated. Don't worry, you'll get there eventually."
27,1336384789373448192,0,0,0,0,@judy_k_05 @Myst_BS @Ennndora @realDonaldTrump Here is this completely disagreeing with you and talking about how covid harming the heart can cause complications leading to death.  https://t.co/YxSrQ0V5ma
28,1336384762802540546,0,0,0,0,"@realDonaldTrump Could you possibly signal any less of your interest or concern cause yeah, what a bunch of suckers."
29,1336384738446225408,0,1,0,0,@SaucySalamande1 @Myst_BS @Ennndora @realDonaldTrump So here's some stats for you r that show flu deaths have flat lined.  https://t.co/wSa3xwSly7
30,1336384546712006664,0,2,0,0,"@SaucySalamande1 @Myst_BS @Ennndora @realDonaldTrump No I SAID ""accomplished professional"""
31,1336384535580315650,0,0,0,0,@Pennsylvaniaco5 @Shaithis1404mk2 @ScottPresler @JasonMillerinDC @realDonaldTrump https://t.co/GD3jD0qpht
32,1336384436036907010,0,1,0,0,"@SaucySalamande1 @Myst_BS @Ennndora @realDonaldTrump She isn't discussing the disease, but statistics related to it. 🙄"
33,1336384203819266050,0,2,0,0,"@judy_k_05 @Myst_BS @Ennndora @realDonaldTrump Stating she is an accomplished expert while discussing a disease is implying she is a expert in said field. If you go to say ""im an accomplished expert"" but fail to add in the field of another subject, its assumed you are a expert in the subject of discussion."
34,1336384191919960064,0,0,0,0,@realDonaldTrump @POTUS https://t.co/vKPBdf1TwZ
35,1336383643632234502,0,2,0,0,@SaucySalamande1 @Myst_BS @Ennndora @realDonaldTrump Covid does NOT CAUSE HEART ATTACKS.  That's garbage.   Quit cursing at me.
36,1336383361724649480,0,0,0,0,@SaucySalamande1 @Myst_BS @Ennndora @realDonaldTrump I was going to thank you for providing the link that disputes her data because I don't want to share bad info.
37,1336383308649934850,0,1,0,0,@judy_k_05 @Myst_BS @Ennndora @realDonaldTrump Omfg its like talking to a wall.. because the gun isn't directly causing the heart attack. COVID DOES. COVID CAN CAUSE HEART ATTACKS.  You know how some medication can cause heart attacks? If you took it and had a heart attack is it that medicines fault?
38,1336383271186264064,0,0,0,0,"@realDonaldTrump Many HEROES died defending our Great Nation, but their spirit lives in ALL 330 Million Plus Americans who would gladly give their lives to defend The USA  God Bless America FOREVER"
39,1336382930986430468,0,0,0,0,"@judy_k_05 @Myst_BS @Ennndora @realDonaldTrump Your own source links to it. It says at the very top ""hey this is an archive of an old article using the way back machine"" how the hell did you even get it?? You had to find the website, search it on a SECOND WEBSITE, search backwards for a old version of it THEN POST IT."
40,1336382921100455944,0,1,0,0,@SaucySalamande1 @Myst_BS @Ennndora @realDonaldTrump You are completely twisting things now. She wasn't discussing medicine.   Statistics and medicine are not the same.
41,1336382856894033920,0,0,0,0,@realDonaldTrump Thought you said people that die in war were losers..? How dare you post anything about Pearl Harbor. You don’t deserve to honor our real heroes.
42,1336382482531426304,0,1,0,0,"@judy_k_05 @Myst_BS @Ennndora @realDonaldTrump But she isn't an accomplished professional in the field we are discussing so stating that while discussing medicine is misleading and wrong.  If I bring walt disney into a surgery room and say he's an accomplished professional so let him do surgery on you, THATS MISLEADING."
43,1336382226964107270,0,1,0,0,@SaucySalamande1 @Myst_BS @Ennndora @realDonaldTrump I never said she's an expert.
44,1336382119359213571,0,0,0,0,@judy_k_05 @Myst_BS @Ennndora @realDonaldTrump And if you really want to argue you don't need to be an expert to understand medicine or disease I really wanna see you get a surgery from the nearest burger king employee and tell me how that one works out.
45,1336381790332866564,0,1,0,0,"@judy_k_05 @Myst_BS @Ennndora @realDonaldTrump No you don't have to be an expert but your defense for the info being wrong is ""shes a expert"" which she isnt."
46,1336381551450402817,0,0,0,0,"@judy_k_05 @Myst_BS @Ennndora @realDonaldTrump So you randomly switched subjects and actually have zero defense for using the way back machine to ignore the current data.  I asked why you would misrepresent your own source and you claimed censorship, but now state the two aren't connected to change topics and won't defend it."
47,1336381099522535430,0,0,0,0,"@judy_k_05 @Myst_BS @Ennndora @realDonaldTrump Jesus christ your own article has the source admitting they broke terms of service and thats why they got the video taken down. So no its not censorship that when they lied and got shut down.  ""violated their community standards and their COVID-19 medical misinformation policy,"""
48,1336380344992493579,0,0,0,0,"@judy_k_05 @Myst_BS @Ennndora @realDonaldTrump Oh wow you are still pedaling bullshit. Here we have Jay Richards, a economist and in no way a medical expert giving an opinion piece filled interview on what he believes about the virus with no proof and saying he is right even if every doctor disagrees with him."
49,1336379384920420352,0,0,0,0,"@judy_k_05 @Myst_BS @Ennndora @realDonaldTrump Oh wow and this is just a whole confusing mess. This study she linked didnt say anything about covid test rates being inaccurate, but saying they arent testing for which peoples cycle thresholds which would be good for identifying infectious individuals but not sick ones."
50,1336378968702906371,0,0,0,0,"@real_defender @realDonaldTrump in 40+ days you are going to need to find a new ""job"""
51,1336378763609657345,0,0,0,0,@realDonaldTrump @POTUS L O O K! https://t.co/sEFIqRb5yX
52,1336378722748919815,0,0,0,0,@realDonaldTrump was this all you could muster up ?  Oh I forgot they were Losers
53,1336378403826651137,0,0,0,0,"@realDonaldTrump “REAL REASONS” To Keep A Careful Eye On Your Accounts, Folks! https://t.co/rCUt0jfvex"
54,1336378357961920512,0,1,0,0,"@SaucySalamande1 @Myst_BS @Ennndora @realDonaldTrump So if someone had a heart attack when someone pulled a gun on them, would you count it as death from a gun???  🙄"
55,1336377996203216897,0,0,0,0,@SaucySalamande1 @Myst_BS @Ennndora @realDonaldTrump Seriously?
56,1336377905631424512,0,0,0,0,@realDonaldTrump @WhiteHouse 2403 deaths in pearl harbour to be honoured. 3000 people die every day NOW from the trump virus. who honouring them not the GOP.
57,1336377793173745669,0,2,0,0,@judy_k_05 @Myst_BS @Ennndora @realDonaldTrump Think of it like this. Covid cause bad things in body right? You know what else does? Guns.  So imagine covid is a big bad mean terrorist. He shoot you. But you die from the bleeding or the infection or the piece of metal in your body. Would you say that terrorist did nothing?
58,1336377712328519684,0,0,0,0,@SaucySalamande1 @Myst_BS @Ennndora @realDonaldTrump Prove your last statement.   And stop cursing at me or just stop responding.
59,1336377527238090764,0,1,0,0,@SaucySalamande1 @Myst_BS @Ennndora @realDonaldTrump Thank you for the link. No I have not seen this which is why I asked you to provide it...
60,1336377369653698560,0,1,0,0,@SaucySalamande1 @Myst_BS @Ennndora @realDonaldTrump I said she was an accomplished professional. It's quite easy to read our own interpretations into things if we aren't careful.
